Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
94,Entry short,2026-06-12 03:35,S,85.96,2,17192,326,1.90,555,3.23,-265,-1.54,3680,0.37,158
95,Exit short,2026-06-15 04:00,flip,80.41,2,16114,22,0.14,171,1.06,-39,-0.24,3702,0.37,18
95,Entry short,2026-06-15 02:30,S,80.57,2,16114,22,0.14,171,1.06,-39,-0.24,3702,0.37,18
96,Exit long,2026-06-15 04:40,flip,80.3,2,16082,-32,-0.20,91,0.57,-55,-0.34,3670,0.37,8
96,Entry long,2026-06-15 04:00,L,80.41,2,16082,-32,-0.20,91,0.57,-55,-0.34,3670,0.37,8
97,Exit short,2026-06-15 07:40,flip,80.46,2,16060,-42,-0.26,63,0.39,-85,-0.53,3628,0.36,36
97,Entry short,2026-06-15 04:40,S,80.3,2,16060,-42,-0.26,63,0.39,-85,-0.53,3628,0.36,36
98,Exit long,2026-06-15 08:20,flip,80.33,2,16092,-36,-0.22,25,0.16,-61,-0.38,3592,0.36,8
98,Entry long,2026-06-15 07:40,L,80.46,2,16092,-36,-0.22,25,0.16,-61,-0.38,3592,0.36,8
99,Exit short,2026-06-15 09:10,flip,80.47,2,16066,-38,-0.24,69,0.43,-33,-0.21,3554,0.36,10
99,Entry short,2026-06-15 08:20,S,80.33,2,16066,-38,-0.24,69,0.43,-33,-0.21,3554,0.36,10
100,Exit long,2026-06-15 09:55,flip,80.23,2,16094,-58,-0.36,37,0.23,-57,-0.35,3496,0.35,9
100,Entry long,2026-06-15 09:10,L,80.47,2,16094,-58,-0.36,37,0.23,-57,-0.35,3496,0.35,9
101,Exit short,2026-06-15 10:55,flip,80.48,2,16046,-60,-0.37,83,0.52,-59,-0.37,3436,0.34,12
101,Entry short,2026-06-15 09:55,S,80.23,2,16046,-60,-0.37,83,0.52,-59,-0.37,3436,0.34,12
102,Exit long,2026-06-15 16:45,session 4:45,81.17,2,16096,128,0.79,223,1.39,-95,-0.59,3564,0.36,70
102,Entry long,2026-06-15 10:55,L,80.48,2,16096,128,0.79,223,1.39,-95,-0.59,3564,0.36,70
103,Exit short,2026-06-16 16:45,session 4:45,76.72,2,15158,-196,-1.29,29,0.19,-281,-1.85,3368,0.34,40
103,Entry short,2026-06-16 13:25,S,75.79,2,15158,-196,-1.29,29,0.19,-281,-1.85,3368,0.34,40
104,Exit short,2026-06-17 03:55,flip,75,4,30316,296,0.98,666,2.20,-58,-0.19,3664,0.37,89
104,Entry short,2026-06-16 20:30,S,75.79,4,30316,296,0.98,666,2.20,-58,-0.19,3664,0.37,89
105,Exit long,2026-06-17 15:05,flip,75.77,2,15000,144,0.96,789,5.26,-45,-0.30,3808,0.38,134
105,Entry long,2026-06-17 03:55,L,75,2,15000,144,0.96,789,5.26,-45,-0.30,3808,0.38,134
106,Exit short,2026-06-17 16:45,session 4:45,75.06,2,15154,132,0.87,161,1.06,-17,-0.11,3940,0.39,20
106,Entry short,2026-06-17 15:05,S,75.77,2,15154,132,0.87,161,1.06,-17,-0.11,3940,0.39,20
107,Exit short,2026-06-18 16:45,session 4:45,75.4,3,22578,-57,-0.25,718.5,3.18,-247.5,-1.10,3883,0.39,253
107,Entry short,2026-06-17 19:40,S,75.26,3,22578,-57,-0.25,718.5,3.18,-247.5,-1.10,3883,0.39,253
108,Exit short,2026-06-22 16:45,session 4:45,74.05,2,15166,346,2.28,517,3.41,-539,-3.55,4229,0.42,337
108,Entry short,2026-06-19 07:40,S,75.83,2,15166,346,2.28,517,3.41,-539,-3.55,4229,0.42,337
